Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
LicensedVector	AppsTest		Thing3	AppsTest	N	String	Input						Delete record	N	?
LicensedVectorBase	AppsTest		BaseKey	AppsTest	Y	Integer	Input						Delete record	N	?
LicensedVectorBase	AppsTest		InputString	AppsTest	N	String	Input						Delete record	N	?
LicensedVectorBase	AppsTest		Vector	AppsTest	N	CompoundVector	Input		LicensedVector	AppsTest	ReferenceToBase	AppsTest	Delete record	N	?
MissingVector	AppsTest		ReferenceToBase	AppsTest	Y	Reference	Input		MissingVectorBase	AppsTest	MissingVectors	AppsTest	Delete record	N	?
MissingVector	AppsTest		VectorKey	AppsTest	Y	Date	Input						Delete record	N	?
MissingVector	AppsTest		Thing1	AppsTest	N	String	Input						Delete record	N	?
MissingVector	AppsTest		Thing2	AppsTest	N	String	Input						Delete record	N	?
MissingVector	AppsTest		Thing3	AppsTest	N	String	Input						Delete record	N	?
MissingVectorBase	AppsTest		BaseKey	AppsTest	Y	Integer	Input						Delete record	N	?
MissingVectorBase	AppsTest		InputString	AppsTest	N	String	Input						Delete record	N	?
MissingVectorBase	AppsTest		MissingVectors	AppsTest	N	CompoundVector	Input		MissingVector	AppsTest	ReferenceToBase	AppsTest	Delete record	N	?
NeverLicensed	AppsTest		KeyBoolean	AppsTest	Y	Enum	Input	'N'	Bool	System			Delete record	N	?
NeverLicensed	AppsTest		KeyDate	AppsTest	Y	Date	Input						Delete record	N	?
NeverLicensed	AppsTest		KeyDateTime	AppsTest	Y	DateTime	Input						Delete record	N	?
NeverLicensed	AppsTest		KeyInteger	AppsTest	Y	Integer	Input						Delete record	N	?
NeverLicensed	AppsTest		KeyString	AppsTest	Y	String	Input						Delete record	N	?
NeverLicensed	AppsTest		KeyTime	AppsTest	Y	Time	Input						Delete record	N	?
NeverLicensed	AppsTest		InputBoolean	AppsTest	N	Enum	Input	'N'	Bool	System			Delete record	N	?
NeverLicensed	AppsTest		InputDate	AppsTest	N	Date	Input						Delete record	N	?
NeverLicensed	AppsTest		InputDateTime	AppsTest	N	DateTime	Input						Delete record	N	?
NeverLicensed	AppsTest		InputInteger	AppsTest	N	Integer	Input						Delete record	N	?
NeverLicensed	AppsTest		InputMoney	AppsTest	N	Money	Input						Delete record	N	?
NeverLicensed	AppsTest		InputQuantity	AppsTest	N	Quantity	Input						Delete record	N	?
NeverLicensed	AppsTest		InputString	AppsTest	N	String	Input						Delete record	N	?
NeverLicensed	AppsTest		InputTime	AppsTest	N	Time	Input						Delete record	N	?
NeverLicensed_InputNote	AppsTest		NeverLicensed	AppsTest	N	Reference	Input		NeverLicensed	AppsTest	InputNote	AppsTest	Delete record	N	?
NeverLicensed_InputNote	AppsTest		Timestamp	AppsTest	N	DateTime	Input						Delete record	N	?
NeverLicensed_InputNote	AppsTest		UserId	AppsTest	N	String	Input						Delete record	N	?
NeverLicensed_InputNote	AppsTest		Value	AppsTest	N	String	Input						Delete record	N	?
Normal	AppsTest		KeyString	AppsTest	Y	String	Input						Delete record	Y	Y
Normal	AppsTest		ExtInputString	AppsTestCustom	N	String	Input						Delete record	Y	Y
Normal	AppsTest		ExtInputStringLicensed	AppsTestDep	N	String	Input						Delete record	Y	N	LicenseAppsTest
Normal	AppsTest		ExtInputStringMissing	AppsTestDep	N	String	Input						Delete record	Y	N	LicenseNeverExists
Normal	AppsTest		InputQuantity	AppsTest	N	Quantity	Input						Delete record	Y	Y
Normal	AppsTest		InputString	AppsTest	N	String	Input						Delete record	Y	Y
Normal	AppsTest		LicensedInputQuantity	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseAppsTest
Normal	AppsTest		LicensedInputString	AppsTest	N	String	Input						Delete record	Y	N	LicenseAppsTest
Normal	AppsTest		MissingInputQuantity	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseNeverExists
